name,lat,lon
Monumento a la Mujer,-12.2082306,-76.9397886
Residencial Miraflores,-12.1173157,-77.0334038
Indero,-11.9270699,-77.0648596
Explorer's House,-12.1196686,-77.0396166
Centro Cultural UNIFE,-12.0720032,-76.9658403
Inka Market,-12.1170467,-77.0275929
Letrero de entrada a Chorrillos,-12.1620586,-77.0251972
Mirador de La Gran Bahía de Lima,-12.1678488,-77.0375603
Mounumento al Soldado,-12.1005216,-76.9889167
Cinemark Mallplaza Angamos,-12.1115511,-77.011798
Cristo Redentor,-12.184148,-76.9878865
John Lennon,-12.0942982,-77.07827
CREA,-11.978124,-77.0728901
Monumento a los caidos del 1941,-12.068288,-77.0412205
Boulevard de la Cultura,-12.0512755,-77.0376325
Las Malvinas,-12.0418383,-77.0181061
Lolo Fernández,-12.0541046,-76.9364527
Cineplanet Primavera,-12.1108068,-77.0022332
ChocoMuseo,-12.0457,-77.0295071
Mercado de Productores de San Isidro,-12.108776,-77.0537496
Cineplanet Pro,-11.9399954,-77.0699658
Hostal Momentos,-11.9882633,-77.0817053
Hotel María Luisa,-12.1219762,-77.0282903
Casa Suyay,-12.1205417,-77.0283682
Hotel Esperanza,-12.1205142,-77.0264542
León,-12.1191024,-77.0293474
Paititi,-12.1180693,-77.026637
Teatro Británico,-12.1233355,-77.0330745
Hotel Continental,-12.0505183,-77.0332312
Hospedaje Camelot,-12.0811614,-77.018535
Central,-12.0448403,-77.0358971
Museo Municipal del Teatro,-12.0464236,-77.0351358
Monumento de La Paz,-12.2286046,-76.9277096
Inka Atzeka,-12.3871368,-76.7766072
1900 Backpacker's Hostel,-12.0610866,-77.0380236
Residencie Palaco Dorado,-11.877086,-77.0693733
Hotel Mercedes,-12.1327595,-76.9783963
José Martí,-12.0751123,-77.0468016
Señor de los Milagros,-12.0444186,-77.0390824
Centro de convenciones de Plaza Norte,-12.0053844,-77.0555086
Manco Cápac,-12.0639274,-77.0300195
Arequipa,-12.0568912,-77.0330527
Miraflores Pacific,-12.1200061,-77.0346615
Economax,-12.0649801,-77.0297755
Mercado Municipal Manco Cápac,-12.0688843,-77.0289717
Anfiteatro Anatómico y Conferencias Clínicas,-12.0575321,-77.0223077
Novotel Lima,-12.0960025,-77.0365206
Mina Modelo,-12.0725768,-77.0852994
Dulce Hogar,-11.9972395,-77.0074839
Ophera,-12.0075638,-77.0583213
Hotel El Encuentro,-11.8670198,-77.0171653
Memorial El ojo que llora,-12.0673304,-77.0398467
El Galpón Espacio,-12.0790688,-77.0640492
Flying Dog Hostel B&B,-12.1222335,-77.0301793
Alfredo Salazar,-12.1318373,-77.0299801
El Reducto,-12.1206845,-77.02248
Hostal Marcial,-12.3896849,-76.7773413
Entre el tiempo,-12.1205664,-77.0440703
Information Touristica,-12.1170387,-77.0280601
home 55,-12.3480611,-76.8114167
Green House,-12.1244876,-77.0357838
Lynik La Casa de Blanco,-11.9743843,-77.0829749
Centro Artesanal Carabaya,-12.0471668,-77.0306037
HOTEL LOS OLIVOS VIP,-12.0075918,-77.0621374
Malecón Paúl Harris,-12.1390806,-77.0263357
Casa Goyeneche,-12.0487561,-77.0295829
Centro Cultural de la Escuela de Bella Artes,-12.0482183,-77.0283759
Centro Cultural Inca Garcilazo de la Vega,-12.0487535,-77.0291591
Hostel THAY83,-12.1210745,-77.0354818
Kaminu backpackers hostel,-12.1494234,-77.0228638
Hospedaje - Residential El Quijote,-12.0691753,-77.0385702
Óvalo de Los Cóndores,-12.1004619,-76.9436336
Cripta al soldado desconocido,-12.0479193,-77.025876
Del Pilar Miraflores Hotel,-12.1197519,-77.0300925
Boulevard Szyszlo,-12.0946041,-77.0154326
Auditorio Zum de la Universidad de Lima,-12.0844156,-76.9709894
DCO'S,-12.0552233,-77.0436464
Alpackers B&B,-12.1222561,-77.0255004
Puriwasi Hostels,-12.1198276,-77.0268338
Che Lagarto Hostel Lima,-12.1232922,-77.0287013
Hosteleria Angiolina,-12.1236803,-77.0285725
Lucky Lodge,-12.1238957,-77.0284861
Hotel Nuna,-12.0796783,-77.0896429
santa anita,-12.0274503,-76.9522492
Machu Picchu Suites,-12.0733156,-77.0980717
Museo Señor de los Milagros,-12.0451544,-77.0376031
